   Elapsed time	   MLII	     V5
        300.181	 -0.435	 -0.300
        300.183	 -0.430	 -0.285
        300.186	 -0.420	 -0.270
        300.189	 -0.410	 -0.275
        300.192	 -0.410	 -0.280
        300.194	 -0.420	 -0.300
        300.197	 -0.435	 -0.290
        300.200	 -0.430	 -0.275
        300.203	 -0.410	 -0.270
        300.206	 -0.410	 -0.265
        300.208	 -0.405	 -0.275
        300.211	 -0.410	 -0.300
        300.214	 -0.415	 -0.300
        300.217	 -0.420	 -0.290
        300.219	 -0.425	 -0.290
        300.222	 -0.410	 -0.285
        300.225	 -0.415	 -0.290
        300.228	 -0.420	 -0.295
        300.231	 -0.420	 -0.290
        300.233	 -0.420	 -0.285
        300.236	 -0.415	 -0.265
        300.239	 -0.415	 -0.270
        300.242	 -0.410	 -0.285
        300.244	 -0.420	 -0.300
        300.247	 -0.430	 -0.290
        300.250	 -0.420	 -0.285
        300.253	 -0.415	 -0.275
        300.256	 -0.405	 -0.270
        300.258	 -0.420	 -0.285
        300.261	 -0.445	 -0.290
        300.264	 -0.445	 -0.290
        300.267	 -0.440	 -0.280
        300.269	 -0.425	 -0.265
        300.272	 -0.410	 -0.280
        300.275	 -0.420	 -0.285
        300.278	 -0.410	 -0.280
        300.281	 -0.420	 -0.295
        300.283	 -0.415	 -0.290
        300.286	 -0.415	 -0.290
        300.289	 -0.405	 -0.275
        300.292	 -0.410	 -0.295
        300.294	 -0.405	 -0.295
        300.297	 -0.425	 -0.300
        300.300	 -0.425	 -0.295
        300.303	 -0.415	 -0.285
        300.306	 -0.400	 -0.295
        300.308	 -0.415	 -0.310
        300.311	 -0.420	 -0.310
        300.314	 -0.435	 -0.320
        300.317	 -0.420	 -0.310
        300.319	 -0.415	 -0.295
        300.322	 -0.400	 -0.310
        300.325	 -0.410	 -0.315
        300.328	 -0.420	 -0.320
        300.331	 -0.430	 -0.335
        300.333	 -0.425	 -0.325
        300.336	 -0.420	 -0.315
        300.339	 -0.405	 -0.325
        300.342	 -0.415	 -0.330
        300.344	 -0.415	 -0.345
        300.347	 -0.435	 -0.340
        300.350	 -0.425	 -0.325
        300.353	 -0.420	 -0.325
        300.356	 -0.405	 -0.340
        300.358	 -0.405	 -0.350
        300.361	 -0.425	 -0.365
        300.364	 -0.440	 -0.370
        300.367	 -0.420	 -0.375
        300.369	 -0.425	 -0.375
        300.372	 -0.430	 -0.370
        300.375	 -0.425	 -0.390
        300.378	 -0.440	 -0.395
        300.381	 -0.450	 -0.400
        300.383	 -0.445	 -0.390
        300.386	 -0.445	 -0.385
        300.389	 -0.440	 -0.405
        300.392	 -0.450	 -0.410
        300.394	 -0.460	 -0.425
        300.397	 -0.470	 -0.430
        300.400	 -0.470	 -0.410
        300.403	 -0.470	 -0.410
        300.406	 -0.460	 -0.395
        300.408	 -0.455	 -0.400
        300.411	 -0.460	 -0.390
        300.414	 -0.450	 -0.380
        300.417	 -0.440	 -0.360
        300.419	 -0.420	 -0.335
        300.422	 -0.405	 -0.320
        300.425	 -0.385	 -0.335
        300.428	 -0.390	 -0.340
        300.431	 -0.395	 -0.310
        300.433	 -0.385	 -0.280
        300.436	 -0.355	 -0.275
        300.439	 -0.345	 -0.260
        300.442	 -0.335	 -0.250
        300.444	 -0.330	 -0.250
        300.447	 -0.335	 -0.255
        300.450	 -0.325	 -0.240
        300.453	 -0.315	 -0.225
        300.456	 -0.310	 -0.225
        300.458	 -0.315	 -0.235
        300.461	 -0.320	 -0.245
        300.464	 -0.325	 -0.240
        300.467	 -0.315	 -0.230
        300.469	 -0.300	 -0.215
        300.472	 -0.295	 -0.210
        300.475	 -0.300	 -0.230
        300.478	 -0.300	 -0.225
        300.481	 -0.320	 -0.230
        300.483	 -0.310	 -0.215
        300.486	 -0.285	 -0.210
        300.489	 -0.285	 -0.210
        300.492	 -0.275	 -0.220
        300.494	 -0.290	 -0.220
        300.497	 -0.300	 -0.225
        300.500	 -0.305	 -0.210
        300.503	 -0.290	 -0.205
        300.506	 -0.270	 -0.220
        300.508	 -0.275	 -0.220
        300.511	 -0.285	 -0.215
        300.514	 -0.295	 -0.225
        300.517	 -0.295	 -0.210
        300.519	 -0.285	 -0.205
        300.522	 -0.280	 -0.215
        300.525	 -0.290	 -0.215
        300.528	 -0.300	 -0.215
        300.531	 -0.305	 -0.230
        300.533	 -0.315	 -0.225
        300.536	 -0.305	 -0.220
        300.539	 -0.300	 -0.210
        300.542	 -0.300	 -0.225
        300.544	 -0.315	 -0.230
        300.547	 -0.325	 -0.225
        300.550	 -0.320	 -0.210
        300.553	 -0.315	 -0.210
        300.556	 -0.295	 -0.215
        300.558	 -0.305	 -0.225
        300.561	 -0.315	 -0.235
        300.564	 -0.325	 -0.230
        300.567	 -0.325	 -0.215
        300.569	 -0.320	 -0.220
        300.572	 -0.315	 -0.215
        300.575	 -0.320	 -0.230
        300.578	 -0.315	 -0.240
        300.581	 -0.320	 -0.240
        300.583	 -0.305	 -0.235
        300.586	 -0.310	 -0.230
        300.589	 -0.300	 -0.220
        300.592	 -0.315	 -0.220
        300.594	 -0.315	 -0.240
        300.597	 -0.315	 -0.235
        300.600	 -0.325	 -0.225
        300.603	 -0.315	 -0.225
        300.606	 -0.305	 -0.230
        300.608	 -0.310	 -0.220
        300.611	 -0.315	 -0.235
        300.614	 -0.330	 -0.245
        300.617	 -0.325	 -0.235
        300.619	 -0.325	 -0.215
        300.622	 -0.320	 -0.215
        300.625	 -0.325	 -0.240
        300.628	 -0.320	 -0.240
        300.631	 -0.335	 -0.235
        300.633	 -0.330	 -0.225
        300.636	 -0.335	 -0.210
        300.639	 -0.315	 -0.215
        300.642	 -0.315	 -0.215
        300.644	 -0.310	 -0.225
        300.647	 -0.330	 -0.235
        300.650	 -0.325	 -0.220
        300.653	 -0.325	 -0.215
        300.656	 -0.305	 -0.205
        300.658	 -0.310	 -0.210
        300.661	 -0.310	 -0.215
        300.664	 -0.320	 -0.220
        300.667	 -0.310	 -0.210
        300.669	 -0.315	 -0.200
        300.672	 -0.300	 -0.210
        300.675	 -0.300	 -0.210
        300.678	 -0.305	 -0.215
        300.681	 -0.330	 -0.210
        300.683	 -0.320	 -0.200
        300.686	 -0.315	 -0.185
        300.689	 -0.305	 -0.200
        300.692	 -0.315	 -0.200
        300.694	 -0.325	 -0.210
        300.697	 -0.340	 -0.215
        300.700	 -0.320	 -0.195
        300.703	 -0.315	 -0.190
        300.706	 -0.310	 -0.200
        300.708	 -0.300	 -0.190
        300.711	 -0.305	 -0.210
        300.714	 -0.315	 -0.205
        300.717	 -0.300	 -0.195
        300.719	 -0.300	 -0.185
        300.722	 -0.285	 -0.185
        300.725	 -0.290	 -0.200
        300.728	 -0.280	 -0.210
        300.731	 -0.270	 -0.195
        300.733	 -0.255	 -0.185
        300.736	 -0.240	 -0.175
        300.739	 -0.235	 -0.175
        300.742	 -0.230	 -0.175
        300.744	 -0.230	 -0.180
        300.747	 -0.235	 -0.165
        300.750	 -0.225	 -0.160
        300.753	 -0.205	 -0.140
        300.756	 -0.190	 -0.150
        300.758	 -0.180	 -0.155
        300.761	 -0.185	 -0.165
        300.764	 -0.190	 -0.160
        300.767	 -0.195	 -0.150
        300.769	 -0.190	 -0.140
        300.772	 -0.195	 -0.130
        300.775	 -0.195	 -0.130
        300.778	 -0.215	 -0.140
        300.781	 -0.225	 -0.130
        300.783	 -0.215	 -0.120
        300.786	 -0.210	 -0.110
        300.789	 -0.205	 -0.110
        300.792	 -0.210	 -0.125
        300.794	 -0.225	 -0.135
        300.797	 -0.240	 -0.140
        300.800	 -0.235	 -0.125
        300.803	 -0.210	 -0.120
        300.806	 -0.185	 -0.130
        300.808	 -0.170	 -0.140
        300.811	 -0.165	 -0.150
        300.814	 -0.180	 -0.155
        300.817	 -0.195	 -0.150
        300.819	 -0.225	 -0.135
        300.822	 -0.240	 -0.145
        300.825	 -0.250	 -0.155
        300.828	 -0.270	 -0.160
        300.831	 -0.290	 -0.155
        300.833	 -0.295	 -0.165
        300.836	 -0.295	 -0.155
        300.839	 -0.295	 -0.160
        300.842	 -0.310	 -0.150
        300.844	 -0.315	 -0.180
        300.847	 -0.320	 -0.180
        300.850	 -0.310	 -0.170
        300.853	 -0.305	 -0.155
        300.856	 -0.295	 -0.165
        300.858	 -0.310	 -0.165
        300.861	 -0.315	 -0.185
        300.864	 -0.330	 -0.190
        300.867	 -0.325	 -0.175
        300.869	 -0.315	 -0.160
        300.872	 -0.305	 -0.175
        300.875	 -0.315	 -0.180
        300.878	 -0.315	 -0.190
        300.881	 -0.330	 -0.195
        300.883	 -0.325	 -0.175
        300.886	 -0.320	 -0.180
        300.889	 -0.320	 -0.175
        300.892	 -0.315	 -0.180
        300.894	 -0.320	 -0.195
        300.897	 -0.335	 -0.195
        300.900	 -0.330	 -0.200
        300.903	 -0.325	 -0.195
        300.906	 -0.320	 -0.220
        300.908	 -0.360	 -0.240
        300.911	 -0.395	 -0.270
        300.914	 -0.445	 -0.270
        300.917	 -0.455	 -0.260
        300.919	 -0.475	 -0.195
        300.922	 -0.520	 -0.125
        300.925	 -0.525	 -0.035
        300.928	 -0.470	  0.045
        300.931	 -0.360	  0.145
        300.933	 -0.200	  0.220
        300.936	 -0.045	  0.310
        300.939	  0.175	  0.405
        300.942	  0.465	  0.465
        300.944	  0.710	  0.485
        300.947	  0.900	  0.425
        300.950	  1.005	  0.270
        300.953	  0.975	  0.070
        300.956	  0.765	 -0.140
        300.958	  0.415	 -0.260
        300.961	  0.060	 -0.315
        300.964	 -0.225	 -0.315
        300.967	 -0.390	 -0.285
        300.969	 -0.455	 -0.260
        300.972	 -0.475	 -0.255
        300.975	 -0.480	 -0.245
        300.978	 -0.480	 -0.230
        300.981	 -0.440	 -0.215
        300.983	 -0.390	 -0.215
        300.986	 -0.350	 -0.215
        300.989	 -0.350	 -0.215
        300.992	 -0.355	 -0.215
        300.994	 -0.365	 -0.225
        300.997	 -0.365	 -0.230
        301.000	 -0.360	 -0.220
        301.003	 -0.355	 -0.215
        301.006	 -0.355	 -0.210
        301.008	 -0.355	 -0.220
        301.011	 -0.360	 -0.225
        301.014	 -0.375	 -0.225
        301.017	 -0.365	 -0.215
        301.019	 -0.355	 -0.205
        301.022	 -0.360	 -0.215
        301.025	 -0.355	 -0.205
        301.028	 -0.370	 -0.225
        301.031	 -0.370	 -0.215
        301.033	 -0.365	 -0.210
        301.036	 -0.365	 -0.195
        301.039	 -0.355	 -0.205
        301.042	 -0.350	 -0.205
        301.044	 -0.360	 -0.215
        301.047	 -0.365	 -0.210
        301.050	 -0.355	 -0.200
        301.053	 -0.345	 -0.195
        301.056	 -0.350	 -0.210
        301.058	 -0.345	 -0.205
        301.061	 -0.345	 -0.210
        301.064	 -0.360	 -0.200
        301.067	 -0.350	 -0.200
        301.069	 -0.335	 -0.185
        301.072	 -0.335	 -0.185
        301.075	 -0.340	 -0.195
        301.078	 -0.345	 -0.200
        301.081	 -0.360	 -0.210
        301.083	 -0.350	 -0.190
        301.086	 -0.345	 -0.185
        301.089	 -0.355	 -0.190
        301.092	 -0.350	 -0.195
        301.094	 -0.340	 -0.205
        301.097	 -0.350	 -0.200
        301.100	 -0.355	 -0.200
        301.103	 -0.350	 -0.180
        301.106	 -0.355	 -0.190
        301.108	 -0.350	 -0.200
        301.111	 -0.340	 -0.210
        301.114	 -0.360	 -0.205
        301.117	 -0.345	 -0.200
        301.119	 -0.345	 -0.195
        301.122	 -0.335	 -0.200
        301.125	 -0.325	 -0.190
        301.128	 -0.340	 -0.200
        301.131	 -0.345	 -0.205
        301.133	 -0.350	 -0.210
        301.136	 -0.335	 -0.180
        301.139	 -0.330	 -0.190
        301.142	 -0.335	 -0.215
        301.144	 -0.340	 -0.215
        301.147	 -0.350	 -0.215
        301.150	 -0.345	 -0.220
        301.153	 -0.335	 -0.210
        301.156	 -0.350	 -0.210
        301.158	 -0.330	 -0.230
        301.161	 -0.345	 -0.245
        301.164	 -0.350	 -0.240
        301.167	 -0.345	 -0.240
        301.169	 -0.340	 -0.230
        301.172	 -0.335	 -0.235
        301.175	 -0.345	 -0.245
        301.178	 -0.340	 -0.260
        301.181	 -0.350	 -0.255
        301.183	 -0.350	 -0.270
        301.186	 -0.345	 -0.260
        301.189	 -0.325	 -0.270
        301.192	 -0.330	 -0.265
        301.194	 -0.340	 -0.280
        301.197	 -0.350	 -0.280
        301.200	 -0.350	 -0.290
        301.203	 -0.340	 -0.275
        301.206	 -0.335	 -0.290
        301.208	 -0.335	 -0.290
        301.211	 -0.355	 -0.320
        301.214	 -0.360	 -0.330
        301.217	 -0.370	 -0.315
        301.219	 -0.365	 -0.315
        301.222	 -0.365	 -0.320
        301.225	 -0.350	 -0.325
        301.228	 -0.350	 -0.325
        301.231	 -0.385	 -0.340
        301.233	 -0.365	 -0.330
        301.236	 -0.365	 -0.315
        301.239	 -0.360	 -0.315
        301.242	 -0.355	 -0.315
        301.244	 -0.365	 -0.320
        301.247	 -0.375	 -0.305
        301.250	 -0.360	 -0.285
        301.253	 -0.340	 -0.260
        301.256	 -0.325	 -0.265
        301.258	 -0.325	 -0.260
        301.261	 -0.315	 -0.250
        301.264	 -0.320	 -0.230
        301.267	 -0.310	 -0.210
        301.269	 -0.300	 -0.185
        301.272	 -0.280	 -0.175
        301.275	 -0.270	 -0.175
        301.278	 -0.270	 -0.185
        301.281	 -0.280	 -0.170
        301.283	 -0.265	 -0.145
        301.286	 -0.250	 -0.135
        301.289	 -0.250	 -0.135
        301.292	 -0.240	 -0.135
        301.294	 -0.230	 -0.145
        301.297	 -0.245	 -0.135
        301.300	 -0.245	 -0.130
        301.303	 -0.230	 -0.125
        301.306	 -0.210	 -0.110
        301.308	 -0.220	 -0.115
        301.311	 -0.230	 -0.125
        301.314	 -0.245	 -0.125
        301.317	 -0.225	 -0.110
        301.319	 -0.225	 -0.105
        301.322	 -0.215	 -0.115
        301.325	 -0.215	 -0.115
        301.328	 -0.235	 -0.125
        301.331	 -0.245	 -0.130
        301.333	 -0.225	 -0.115
        301.336	 -0.220	 -0.115
        301.339	 -0.205	 -0.115
        301.342	 -0.215	 -0.115
        301.344	 -0.220	 -0.125
        301.347	 -0.230	 -0.135
        301.350	 -0.225	 -0.130
        301.353	 -0.215	 -0.105
        301.356	 -0.210	 -0.120
        301.358	 -0.215	 -0.115
        301.361	 -0.225	 -0.125
        301.364	 -0.245	 -0.140
        301.367	 -0.235	 -0.125
        301.369	 -0.230	 -0.120
        301.372	 -0.230	 -0.125
        301.375	 -0.240	 -0.125
        301.378	 -0.240	 -0.130
        301.381	 -0.250	 -0.135
        301.383	 -0.240	 -0.125
        301.386	 -0.225	 -0.120
        301.389	 -0.225	 -0.120
        301.392	 -0.230	 -0.120
        301.394	 -0.230	 -0.135
        301.397	 -0.245	 -0.145
        301.400	 -0.245	 -0.130
        301.403	 -0.235	 -0.125
        301.406	 -0.235	 -0.130
        301.408	 -0.235	 -0.140
        301.411	 -0.255	 -0.150
        301.414	 -0.255	 -0.145
        301.417	 -0.255	 -0.135
        301.419	 -0.245	 -0.140
        301.422	 -0.245	 -0.135
        301.425	 -0.240	 -0.135
        301.428	 -0.245	 -0.155
        301.431	 -0.250	 -0.155
        301.433	 -0.265	 -0.145
        301.436	 -0.245	 -0.140
        301.439	 -0.235	 -0.135
        301.442	 -0.240	 -0.145
        301.444	 -0.245	 -0.150
        301.447	 -0.255	 -0.150
        301.450	 -0.250	 -0.140
        301.453	 -0.250	 -0.130
        301.456	 -0.255	 -0.145
        301.458	 -0.255	 -0.155
        301.461	 -0.255	 -0.155
        301.464	 -0.280	 -0.155
        301.467	 -0.275	 -0.155
        301.469	 -0.265	 -0.140
        301.472	 -0.255	 -0.145
        301.475	 -0.255	 -0.135
        301.478	 -0.260	 -0.150
        301.481	 -0.275	 -0.160
        301.483	 -0.285	 -0.150
        301.486	 -0.265	 -0.135
        301.489	 -0.260	 -0.135
        301.492	 -0.270	 -0.140
        301.494	 -0.275	 -0.150
        301.497	 -0.285	 -0.160
        301.500	 -0.275	 -0.155
        301.503	 -0.270	 -0.145
        301.506	 -0.270	 -0.135
        301.508	 -0.265	 -0.130
        301.511	 -0.275	 -0.145
        301.514	 -0.285	 -0.150
        301.517	 -0.275	 -0.145
        301.519	 -0.255	 -0.135
        301.522	 -0.250	 -0.130
        301.525	 -0.245	 -0.150
        301.528	 -0.255	 -0.140
        301.531	 -0.260	 -0.145
        301.533	 -0.260	 -0.135
        301.536	 -0.265	 -0.120
        301.539	 -0.250	 -0.125
        301.542	 -0.255	 -0.135
        301.544	 -0.260	 -0.155
        301.547	 -0.265	 -0.145
        301.550	 -0.265	 -0.150
        301.553	 -0.255	 -0.125
        301.556	 -0.255	 -0.125
        301.558	 -0.245	 -0.120
        301.561	 -0.255	 -0.145
        301.564	 -0.275	 -0.150
        301.567	 -0.250	 -0.135
        301.569	 -0.230	 -0.120
        301.572	 -0.235	 -0.130
        301.575	 -0.215	 -0.120
        301.578	 -0.210	 -0.140
        301.581	 -0.210	 -0.140
        301.583	 -0.200	 -0.135
        301.586	 -0.190	 -0.125
        301.589	 -0.180	 -0.120
        301.592	 -0.175	 -0.120
        301.594	 -0.165	 -0.120
        301.597	 -0.175	 -0.115
        301.600	 -0.160	 -0.095
        301.603	 -0.145	 -0.090
        301.606	 -0.130	 -0.095
        301.608	 -0.130	 -0.095
        301.611	 -0.140	 -0.100
        301.614	 -0.150	 -0.105
        301.617	 -0.145	 -0.100
        301.619	 -0.140	 -0.090
        301.622	 -0.145	 -0.095
        301.625	 -0.150	 -0.085
        301.628	 -0.160	 -0.100
        301.631	 -0.175	 -0.080
        301.633	 -0.180	 -0.070
        301.636	 -0.170	 -0.055
        301.639	 -0.165	 -0.060
        301.642	 -0.150	 -0.070
        301.644	 -0.165	 -0.090
        301.647	 -0.195	 -0.075
        301.650	 -0.185	 -0.070
        301.653	 -0.175	 -0.070
        301.656	 -0.145	 -0.075
        301.658	 -0.130	 -0.085
        301.661	 -0.150	 -0.110
        301.664	 -0.190	 -0.105
        301.667	 -0.195	 -0.120
        301.669	 -0.190	 -0.110
        301.672	 -0.195	 -0.105
        301.675	 -0.225	 -0.105
        301.678	 -0.240	 -0.130
        301.681	 -0.270	 -0.125
        301.683	 -0.265	 -0.120
        301.686	 -0.265	 -0.125
        301.689	 -0.270	 -0.125
        301.692	 -0.255	 -0.135
        301.694	 -0.280	 -0.140
        301.697	 -0.285	 -0.145
        301.700	 -0.280	 -0.130
        301.703	 -0.275	 -0.125
        301.706	 -0.270	 -0.125
        301.708	 -0.260	 -0.135
        301.711	 -0.285	 -0.155
        301.714	 -0.300	 -0.145
        301.717	 -0.290	 -0.130
        301.719	 -0.280	 -0.115
        301.722	 -0.275	 -0.125
        301.725	 -0.275	 -0.135
        301.728	 -0.290	 -0.140
        301.731	 -0.295	 -0.150
        301.733	 -0.290	 -0.140
        301.736	 -0.285	 -0.135
        301.739	 -0.280	 -0.145
        301.742	 -0.275	 -0.160
        301.744	 -0.295	 -0.195
        301.747	 -0.320	 -0.210
        301.750	 -0.375	 -0.235
        301.753	 -0.385	 -0.235
        301.756	 -0.415	 -0.240
        301.758	 -0.440	 -0.195
        301.761	 -0.495	 -0.105
        301.764	 -0.520	  0.030
        301.767	 -0.430	  0.160
        301.769	 -0.290	  0.270
        301.772	 -0.145	  0.370
        301.775	  0.025	  0.470
        301.778	  0.245	  0.565
        301.781	  0.530	  0.650
        301.783	  0.800	  0.685
        301.786	  0.985	  0.570
        301.789	  1.035	  0.295
        301.792	  0.910	  0.010
        301.794	  0.565	 -0.160
        301.797	  0.125	 -0.175
        301.800	 -0.255	 -0.155
        301.803	 -0.430	 -0.145
        301.806	 -0.440	 -0.160
        301.808	 -0.385	 -0.160
        301.811	 -0.335	 -0.165
        301.814	 -0.315	 -0.185
        301.817	 -0.325	 -0.170
        301.819	 -0.320	 -0.180
        301.822	 -0.310	 -0.170
        301.825	 -0.310	 -0.175
        301.828	 -0.320	 -0.180
        301.831	 -0.330	 -0.185
        301.833	 -0.335	 -0.175
        301.836	 -0.320	 -0.170
        301.839	 -0.315	 -0.175
        301.842	 -0.315	 -0.180
        301.844	 -0.330	 -0.185
        301.847	 -0.350	 -0.215
        301.850	 -0.350	 -0.190
        301.853	 -0.335	 -0.190
        301.856	 -0.330	 -0.195
        301.858	 -0.335	 -0.190
        301.861	 -0.335	 -0.200
        301.864	 -0.355	 -0.195
        301.867	 -0.345	 -0.195
        301.869	 -0.340	 -0.185
        301.872	 -0.325	 -0.185
        301.875	 -0.335	 -0.195
        301.878	 -0.335	 -0.205
        301.881	 -0.355	 -0.205
        301.883	 -0.350	 -0.190
        301.886	 -0.335	 -0.175
        301.889	 -0.330	 -0.180
        301.892	 -0.340	 -0.190
        301.894	 -0.345	 -0.195
        301.897	 -0.340	 -0.195
        301.900	 -0.340	 -0.180
        301.903	 -0.325	 -0.170
        301.906	 -0.325	 -0.170
        301.908	 -0.330	 -0.175
        301.911	 -0.350	 -0.200
        301.914	 -0.360	 -0.200
        301.917	 -0.345	 -0.190
        301.919	 -0.340	 -0.170
        301.922	 -0.325	 -0.185
        301.925	 -0.330	 -0.185
        301.928	 -0.335	 -0.195
        301.931	 -0.355	 -0.205
        301.933	 -0.345	 -0.200
        301.936	 -0.340	 -0.180
        301.939	 -0.335	 -0.190
        301.942	 -0.340	 -0.195
        301.944	 -0.340	 -0.205
        301.947	 -0.355	 -0.200
        301.950	 -0.345	 -0.190
        301.953	 -0.335	 -0.190
        301.956	 -0.325	 -0.200
        301.958	 -0.320	 -0.205
        301.961	 -0.335	 -0.215
        301.964	 -0.340	 -0.210
        301.967	 -0.340	 -0.215
        301.969	 -0.325	 -0.210
        301.972	 -0.325	 -0.215
        301.975	 -0.330	 -0.220
        301.978	 -0.340	 -0.240
        301.981	 -0.340	 -0.240
        301.983	 -0.345	 -0.245
        301.986	 -0.330	 -0.230
        301.989	 -0.335	 -0.240
        301.992	 -0.325	 -0.250
        301.994	 -0.335	 -0.270
        301.997	 -0.340	 -0.275
        302.000	 -0.340	 -0.275
        302.003	 -0.335	 -0.265
        302.006	 -0.325	 -0.270
        302.008	 -0.330	 -0.285
        302.011	 -0.345	 -0.300
        302.014	 -0.340	 -0.310
        302.017	 -0.345	 -0.300
        302.019	 -0.330	 -0.295
        302.022	 -0.330	 -0.300
        302.025	 -0.330	 -0.310
        302.028	 -0.340	 -0.320
        302.031	 -0.360	 -0.330
        302.033	 -0.350	 -0.315
        302.036	 -0.345	 -0.315
        302.039	 -0.325	 -0.325
        302.042	 -0.325	 -0.320
        302.044	 -0.330	 -0.335
        302.047	 -0.340	 -0.340
        302.050	 -0.340	 -0.335
        302.053	 -0.335	 -0.320
        302.056	 -0.335	 -0.315
        302.058	 -0.340	 -0.320
        302.061	 -0.340	 -0.330
        302.064	 -0.355	 -0.305
        302.067	 -0.345	 -0.295
        302.069	 -0.330	 -0.275
        302.072	 -0.325	 -0.260
        302.075	 -0.325	 -0.245
        302.078	 -0.320	 -0.240
        302.081	 -0.305	 -0.225
        302.083	 -0.300	 -0.190
        302.086	 -0.280	 -0.185
        302.089	 -0.270	 -0.175
        302.092	 -0.260	 -0.165
        302.094	 -0.255	 -0.165
        302.097	 -0.260	 -0.165
        302.100	 -0.250	 -0.135
        302.103	 -0.230	 -0.130
        302.106	 -0.215	 -0.135
        302.108	 -0.240	 -0.140
        302.111	 -0.235	 -0.135
        302.114	 -0.245	 -0.135
        302.117	 -0.245	 -0.130
        302.119	 -0.230	 -0.115
        302.122	 -0.225	 -0.125
        302.125	 -0.230	 -0.125
        302.128	 -0.235	 -0.135
        302.131	 -0.245	 -0.135
        302.133	 -0.230	 -0.130
        302.136	 -0.235	 -0.120
        302.139	 -0.225	 -0.110
        302.142	 -0.220	 -0.120
        302.144	 -0.235	 -0.120
        302.147	 -0.250	 -0.135
        302.150	 -0.250	 -0.130
        302.153	 -0.230	 -0.120
        302.156	 -0.220	 -0.130
        302.158	 -0.235	 -0.125
        302.161	 -0.235	 -0.135
        302.164	 -0.240	 -0.140
        302.167	 -0.240	 -0.140
        302.169	 -0.230	 -0.115
        302.172	 -0.225	 -0.120
        302.175	 -0.230	 -0.140
        302.178	 -0.230	 -0.135
        302.181	 -0.245	 -0.150
        302.183	 -0.245	 -0.145
        302.186	 -0.250	 -0.130
        302.189	 -0.240	 -0.130
        302.192	 -0.245	 -0.145
        302.194	 -0.255	 -0.150
        302.197	 -0.260	 -0.155
        302.200	 -0.260	 -0.150
        302.203	 -0.250	 -0.140
        302.206	 -0.245	 -0.135
        302.208	 -0.250	 -0.140
        302.211	 -0.265	 -0.155
        302.214	 -0.270	 -0.160
        302.217	 -0.275	 -0.155
        302.219	 -0.265	 -0.150
        302.222	 -0.255	 -0.150
        302.225	 -0.265	 -0.135
        302.228	 -0.280	 -0.155
        302.231	 -0.285	 -0.155
        302.233	 -0.270	 -0.145
        302.236	 -0.265	 -0.150
        302.239	 -0.245	 -0.140
        302.242	 -0.260	 -0.145
        302.244	 -0.265	 -0.155
        302.247	 -0.265	 -0.170
        302.250	 -0.270	 -0.165
        302.253	 -0.265	 -0.145
        302.256	 -0.260	 -0.150
        302.258	 -0.270	 -0.150
        302.261	 -0.280	 -0.165
        302.264	 -0.290	 -0.165
        302.267	 -0.285	 -0.165
        302.269	 -0.290	 -0.145
        302.272	 -0.295	 -0.155
        302.275	 -0.285	 -0.160
        302.278	 -0.300	 -0.170
        302.281	 -0.300	 -0.170
        302.283	 -0.300	 -0.170
